"","18-99","18-24","25-44","45-64","65p","18-99m","18-24m","25-44m","45-64m","65pm","18-99f","18-24f","25-44f","45-64f","65pf"
"ND",0.191156745501508,0.168960171663193,0.261260805016993,0.186834899523426,0.0917082426729576,0.209659614556296,0.179878667445428,0.291328687400941,0.197231525697273,0.0917035979810655,0.170673226543162,0.157158367481221,0.224204417672297,0.175458353230478,0.0917625357527575
"OH",0.205130805062908,0.149647108214133,0.266549927448523,0.232474489698852,0.106603572506144,0.220881642934275,0.160255008620619,0.281646137243799,0.238205096533375,0.13239131800721,0.19045133080636,0.138403152428103,0.25199122659573,0.22698878369283,0.0863496126488743
"OK",0.196747063103568,0.173170617232302,0.21717346487352,0.236812417206062,0.117146412305049,0.222185402071249,0.229218816288795,0.223468074805522,0.270886754640878,0.133650758565479,0.172105146193235,0.110183051622912,0.210921493407065,0.203662144344364,0.103690115532492
"OR",0.156120660021699,0.134222243257431,0.18605726807307,0.175982319611704,0.0942672330247742,0.153941627797157,0.109031803763833,0.180476443288828,0.174963949954555,0.103279257149829,0.158846424779418,0.159838886940375,0.193105780641638,0.177109555482093,0.0874363565442289
"PA",0.170382190241232,0.102522346502938,0.230352845814911,0.1904982983128,0.0958781843397905,0.173644940432039,0.103743493008929,0.229299345934608,0.189745111564333,0.103908216920662,0.167977980485534,0.101406754124747,0.233290834943924,0.191033519749024,0.0905857106539639
"RI",0.146191942420513,0.13059025261655,0.183914130652181,0.15858984591377,0.0811861061625754,0.149145428068765,0.176203897628773,0.181647424227248,0.146708644335241,0.0814866031068324,0.14427727916242,0.0863095278418658,0.1865832162429,0.170653381534953,0.0814070980414553
"SC",0.180300037293026,0.14014732110408,0.224363791077973,0.211377992362832,0.0959611020649099,0.198354431684904,0.126952415506409,0.249059257590364,0.235737109893623,0.109224667242547,0.164281921859495,0.15485690190552,0.201635723800906,0.189864581176131,0.0854106149296045
"SD",0.189873475153381,0.179861731948804,0.265154370754605,0.188854666399046,0.0894880028559108,0.215341651276842,0.193609909756969,0.303994156620715,0.208850194975976,0.0979064187150912,0.162689310568946,0.164866798679734,0.219122071887067,0.168175921754745,0.0824594489318632
"TN",0.206581330237351,0.111874524931718,0.235655341722889,0.260694668994001,0.130293937484233,0.215390179811791,0.0910631150295562,0.248301751317124,0.267757415965621,0.151056321772148,0.19812712938618,0.13396294801144,0.221604338806791,0.254772629479802,0.11354171454945
"TX",0.143676147387823,0.114739647360491,0.144121943657705,0.185666959882937,0.0883485672484287,0.174727289930248,0.1356537376821,0.187116733248498,0.206762936778684,0.11581825949472,0.113679393419036,0.09171219513001,0.10031427211757,0.165533270328174,0.0661850761761763
"UT",0.0898410614542647,0.0589179432853437,0.103922456874359,0.107695705645714,0.0547843739272282,0.104142480056989,0.0635385744498659,0.122697339318667,0.123559913124493,0.0628655932628285,0.0746216825858043,0.0540199776033091,0.0827246203294024,0.0914940488915338,0.0471312531242233
"VT",0.136592602951486,0.125934904644171,0.182769007990044,0.143060470177494,0.0780347155697931,0.147044628299539,0.0987404655564561,0.213293456155039,0.144877715563477,0.0941536343455946,0.126858539738369,0.155890402534993,0.15312385384504,0.140967399151937,0.0648261971637373
"VA",0.149450181196241,0.101400183355652,0.183007224292947,0.16282353755704,0.101245175156435,0.172979708976475,0.120789983063205,0.219956289595222,0.181387374683814,0.106791021050703,0.126668297995567,0.0811640724070193,0.144423415974362,0.145130159995088,0.0968364593478142
"WA",0.120402356748659,0.119139490824653,0.128126064193733,0.144975771095501,0.0697963739381623,0.13545309132537,0.120389171742369,0.15247934354574,0.15276517667709,0.0840285034074267,0.106381056240565,0.119122601246023,0.103450310551553,0.138021170914855,0.0583901525430498
"WV",0.252468839638442,0.231008620038755,0.335869650509512,0.270875448493024,0.138469352835475,0.257286649267624,0.237711398426099,0.332761911319969,0.266487765492875,0.153846581843337,0.247859628922616,0.224064864563829,0.339058934738789,0.275145458172913,0.125707867989448
"WI",0.163717311429894,0.112486288458463,0.213013445627625,0.182887412940061,0.0950808380079606,0.182030501288839,0.139703052794771,0.227745720206132,0.196482433854296,0.113332896642099,0.145877305999798,0.0843572698954273,0.197619547053422,0.169417461048976,0.0798917817186249
"WY",0.187958715478639,0.199116921502409,0.228924131230589,0.200643099561176,0.0978217145126263,0.199320210792482,0.2361193377954,0.232229532651151,0.200649368965178,0.116953977794342,0.17624586657244,0.155946719029605,0.225415445583301,0.200636621138275,0.0803657483182791
