birthyear,age,p_berkeley,q_nlung,final
1868,16,0.0032,0.003198204,0.0032
1868,17,0.00378,0.0037780052,0.00378
1868,18,0.00913,0.0091280108,0.00913
1868,19,0.00531,0.005308007,0.00531
1868,20,0.00507,0.0050680069,0.00507
1868,21,0.00437,0.0043680063,0.00437
1868,22,0.00449,0.0044880065,0.00449
1868,23,0.00472,0.0047176081,0.00472
1868,24,0.00456,0.0045572092,0.00456
1868,25,0.00462,0.0046168106,0.00462
1868,26,0.00467,0.0046664119,0.00467
1868,27,0.00457,0.004566013,0.00457
1868,28,0.00494,0.0049332238,0.00494
1868,29,0.00504,0.0050304339,0.00504
1868,30,0.00491,0.0048976433,0.00491
1868,31,0.00496,0.0049448544,0.00496
1868,32,0.00472,0.0047020639,0.00472
1868,33,0.004922,0.0048994834,0.004922
1868,34,0.005239,0.0052119066,0.005239
1868,35,0.005588,0.0055563334,0.005588
1868,36,0.005908,0.0058717619,0.005908
1868,37,0.00618,0.0061391931,0.00618
1868,38,0.006428,0.0063746668,0.006428
1868,39,0.006673,0.00660715,0.006673
1868,40,0.006945,0.0068666457,0.0040787357
1868,41,0.007307,0.0072161508,0.0042620659
1868,42,0.007791,0.0076876742,0.004514217
1868,43,0.00837,0.0082383293,0.004849332
1868,44,0.009015,0.0088550218,0.0052230498
1868,45,0.00972,0.0095317512,0.005631979
1868,46,0.010463,0.0102465405,0.0060634734
1868,47,0.011236,0.0109913721,0.0065130047
1868,48,0.012063,0.0117758075,0.0070235117
1868,49,0.012972,0.0126423983,0.0075870505
1868,50,0.013949,0.013577025,0.008196192
1868,51,0.01491,0.0144957488,0.008802034
1868,52,0.015823,0.0153665983,0.0093855678
1868,53,0.016688,0.0161785417,0.0100159246
1868,54,0.017508,0.0169455572,0.0106330433
1868,55,0.018342,0.0177266914,0.0112723933
1868,56,0.019425,0.0187570898,0.0120805999
1868,57,0.020855,0.020134741,0.0131250656
1868,58,0.022651,0.0218862237,0.014432273
1868,59,0.02485,0.0240411302,0.016030747
1868,60,0.027393,0.0265407089,0.0178924958
1868,61,0.029892,0.0289962644,0.0197703699
1868,62,0.032202,0.0312629014,0.0215673241
1868,63,0.034355,0.0334157174,0.0232984194
1868,64,0.036368,0.0354286524,0.0249767985
1868,65,0.03837,0.0374305242,0.0266898293
1868,66,0.041987,0.0410481406,0.0295839486
1868,67,0.047266,0.0463285732,0.0337379921
1868,68,0.051569,0.0506354068,0.0372921077
1868,69,0.053304,0.0523727228,0.0390532363
1868,70,0.056132,0.0552039672,0.04166445
1868,71,0.062034,0.061110945,0.0466449787
1868,72,0.067439,0.0665212735,0.0513615138
1868,73,0.070481,0.0695856095,0.0545176927
1868,74,0.077004,0.0761330595,0.0604932612
1868,75,0.08398,0.0831331163,0.066998342
1868,76,0.08885,0.0880267814,0.0721729819
1868,77,0.094144,0.093344641,0.077824911
1868,78,0.100673,0.0999085008,0.0846455023
1868,79,0.107352,0.1066224494,0.0917491507
1868,80,0.115584,0.1148889702,0.1003485085
1868,81,0.125832,0.125173377,0.1109007003
1868,82,0.137492,0.1368705027,0.1229283826
1868,83,0.148274,0.147664601,0.1330957612
1868,84,0.158816,0.1581449879,0.1431040829
1868,85,0.167868,0.1671372657,0.1518149781
1868,86,0.181107,0.1803555346,0.1643610381
1868,87,0.200341,0.1995697608,0.1824095861
1868,88,0.212281,0.2114807514,0.1938700855
1868,89,0.236508,0.2357294983,0.216612951
1868,90,0.260482,0.2597332216,0.2392107415
1868,91,0.256203,0.255336323,0.2358764401
1868,92,0.282029,0.2812489855,0.2602743043
1868,93,0.312566,0.3116884627,0.2891094276
1868,94,0.340258,0.3394644918,0.3156064851
1868,95,0.34074,0.3398760535,0.3169189462
1868,96,0.368257,0.3674793661,0.3434263849
1868,97,0.380222,0.3793624919,0.3555063078
1868,98,0.37407,0.3732051727,0.3506389855
1868,99,0.381206,0.3802498597,0.3582071472
1869,0,0.14596,0.14596,0.14596
1869,1,0.03282,0.03282,0.03282
1869,2,0.01634,0.01634,0.01634
1869,3,0.01052,0.0105198012,0.01052
1869,4,0.00875,0.0087496019,0.00875
1869,5,0.00628,0.0062794021,0.00628
1869,6,0.00462,0.0046192022,0.00462
1869,7,0.00326,0.003259002,0.00326
1869,8,0.00256,0.0025590016,0.00256
1869,9,0.00203,0.0020290013,0.00203
1869,10,0.00211,0.0021090014,0.00211
1869,11,0.00216,0.0021590014,0.00216
1869,12,0.00212,0.0021190014,0.00212
1869,13,0.00239,0.0023888019,0.00239
1869,14,0.00254,0.0025386024,0.00254
1869,15,0.00267,0.002668403,0.00267
1869,16,0.0032,0.003198204,0.0032
1869,17,0.00378,0.0037780052,0.00378
1869,18,0.00913,0.0091280108,0.00913
1869,19,0.00531,0.005308007,0.00531
1869,20,0.00507,0.0050680069,0.00507
1869,21,0.00437,0.0043680063,0.00437
1869,22,0.00449,0.0044880065,0.00449
1869,23,0.00472,0.0047176081,0.00472
1869,24,0.00456,0.0045572092,0.00456
1869,25,0.00462,0.0046168106,0.00462
1869,26,0.00467,0.0046664119,0.00467
1869,27,0.00457,0.004566013,0.00457
1869,28,0.00494,0.0049332238,0.00494
1869,29,0.00504,0.0050304339,0.00504
1869,30,0.00491,0.0048976433,0.00491
1869,31,0.00496,0.0049448544,0.00496
1869,32,0.00472,0.0047020639,0.00472
1869,33,0.004922,0.0048994834,0.004922
1869,34,0.005239,0.0052119066,0.005239
1869,35,0.005588,0.0055563334,0.005588
1869,36,0.005908,0.0058717619,0.005908
1869,37,0.00618,0.0061391931,0.00618
1869,38,0.006428,0.0063746668,0.006428
1869,39,0.006673,0.00660715,0.006673
1869,40,0.006945,0.0068666457,0.0040787357
1869,41,0.007307,0.0072161508,0.0042620659
1869,42,0.007791,0.0076876742,0.004514217
1869,43,0.00837,0.0082383293,0.004849332
1869,44,0.009015,0.0088550218,0.0052230498
1869,45,0.00972,0.0095317512,0.005631979
1869,46,0.010463,0.0102465405,0.0060634734
1869,47,0.011236,0.0109913721,0.0065130047
1869,48,0.012063,0.0117758075,0.0070235117
1869,49,0.012972,0.0126423983,0.0075870505
1869,50,0.013949,0.013577025,0.008196192
1869,51,0.01491,0.0144957488,0.008802034
1869,52,0.015823,0.0153665983,0.0093855678
1869,53,0.016688,0.0161785417,0.0100159246
1869,54,0.017508,0.0169455572,0.0106330433
1869,55,0.018342,0.0177266914,0.0112723933
1869,56,0.019425,0.0187570898,0.0120805999
1869,57,0.020855,0.020134741,0.0131250656
1869,58,0.022651,0.0218862237,0.014432273
1869,59,0.02485,0.0240411302,0.016030747
1869,60,0.027393,0.0265407089,0.0178924958
1869,61,0.029892,0.0289962644,0.0197703699
1869,62,0.032202,0.0312629014,0.0215673241
1869,63,0.034355,0.0334157174,0.0232984194
1869,64,0.036368,0.0354286524,0.0249767985
1869,65,0.039164,0.0382249145,0.0272421286
1869,66,0.043915,0.0429770922,0.0309424132
1869,67,0.048207,0.0472700398,0.0344096684
1869,68,0.050043,0.0491086499,0.0361885812
1869,69,0.052514,0.051582331,0.0384744419
