"","yr2010","yr2011","yr2012","yr2013","yr2014","yr2015","yr2016","yr2017","yr2018","yr2019","yr2020","yr2021","yr2022","yr2023","yr2024","yr2025","yr2026","yr2027","yr2028","yr2029","yr2030","yr2031","yr2032","yr2033","yr2034","yr2035","yr2036","yr2037","yr2038","yr2039","yr2040","yr2041","yr2042","yr2043","yr2044","yr2045","yr2046","yr2047","yr2048","yr2049","yr2050","yr2051","yr2052","yr2053","yr2054","yr2055","yr2056","yr2057","yr2058","yr2059","yr2060"
"pop_73",412594,435706,457644,492724,515636,536148,557702,581402,602870,615530,642620,658454,666218,700516,699584,706936,714556,718782,777600,795538,818284,874056,903444,944074,987528,1077342,1231690,1198708,1227210,1246142,1692166,1624110,1639590,1692630,1739916,1809436,1890662,1977506,2081888,2117540,2217864,2268032,2303996,2412422,2416126,2417462,2448048,2483276,2476280,2372328,2363590
"pop_74",312030,326318,345292,363408,373340,409874,426836,444752,464282,481964,492796,515080,528476,535422,563656,563526,570108,576950,581046,629230,644434,663534,709440,734078,767878,803978,878244,1005350,979850,1004408,1021276,1388526,1334584,1349100,1394534,1435362,1494558,1563632,1637456,1726064,1757806,1843364,1887428,1919694,2012504,2018042,2021598,2049458,2081360,2077862,1992886
"pop_75",233674,241838,253434,268738,255682,290438,319298,333126,347672,363428,377738,386794,404730,415810,421828,444668,445096,450848,456756,460544,499306,511888,527600,564750,584928,612554,642216,702536,805270,785980,806878,821476,1118384,1076552,1089844,1128118,1162722,1212158,1269954,1331720,1405648,1433354,1505144,1543232,1571598,1649682,1656302,1661310,1686254,1714656,1713840
"pop_76",167460,177280,183858,193086,186890,194414,221208,243502,254522,266118,278554,289874,297264,311418,320380,325474,343556,344240,349144,354204,357556,388048,398270,410908,440276,456512,478838,502764,550738,632138,617906,635278,647756,883008,851478,863242,894936,923674,964282,1011642,1062392,1122986,1146740,1205834,1238102,1262502,1327044,1334142,1339914,1361734,1386530
"pop_77",118090,124254,131810,137020,122588,138760,144604,164764,181622,190160,199220,208792,217550,223434,234352,241396,245566,259576,260370,264454,268596,271480,294940,303040,312980,335736,348650,366322,385164,422530,485666,475540,489744,500150,682728,659386,669614,695258,718602,751294,789316,830250,878938,898876,946614,973274,993868,1046146,1053136,1059218,1077956
"pop_78",79832,85586,90268,95962,81510,88686,100588,105026,119910,132312,138854,145696,152904,159516,164028,172308,177716,181050,191636,192402,195720,199032,201386,219022,225338,232960,250306,260298,274010,288478,316962,364886,357890,369198,377594,516126,499410,507990,528322,546916,572652,602620,634878,673140,689458,727230,748802,765708,807184,813708,819568
"pop_79",53012,56524,60694,64164,53732,57522,62692,71260,74532,85216,94092,98970,104064,109334,114208,117614,123648,127672,130270,138022,138738,141318,143918,145806,158738,163494,169298,182214,189838,200172,211030,232242,267754,263080,271898,278528,381146,369570,376532,392256,406722,426462,449558,474374,503808,516812,546002,563014,576664,608778,614608
"pop_80",3269082,3232470,3190102,3175516,3246852,3481086,3529256,3596186,3807244,3900534,4038748,4187902,4529342,5132866,4946744,5015982,5044942,6788912,6452030,6450470,6595578,6711938,6910916,7150298,7407396,7724012,7778678,8067974,8169676,8222540,8529034,8457480,8382890,8412900,8455044,8355896,7932836,7828728,7873372,8099230,8581726,8499330,8105038,7808554,7790026,8113454,7948824,8241434,8416154,8668912,9317270
"pop_81",2987806,3057770,3025642,2987856,3072568,3060158,3282146,3329014,3393678,3594360,3683896,3815816,3958446,4282968,4855578,4681522,4748962,4778450,6432546,6115624,6116478,6256412,6369324,6560966,6790620,7037306,7340852,7396080,7674256,7774414,7827744,8122770,8058354,7990552,8022204,8065526,7973996,7573342,7477132,7522688,7741804,8206112,8130538,7756202,7475212,7460716,7773140,7618436,7901764,8072334,8317894
"pop_82",2782458,2774426,2841482,2813758,2869272,2876580,2866430,3075600,3120902,3183082,3372804,3458290,3583586,3719376,4026034,4566322,4404662,4470112,4500014,6059982,5763770,5766918,5901216,6010262,6193862,6413296,6649148,6938924,6994404,7260802,7358944,7412572,7695274,7638058,7577072,7610298,7654696,7570924,7193628,7105568,7151770,7363668,7808466,7739854,7386436,7121762,7111064,7411780,7267304,7540660,7706542
